name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age,brand
Maruti 800 AC,2007.0,,70000.0,Petrol,Unknown,Manual,First Owner,13.0,Maruti
Maruti Wagon R LXI Minor,,135000.0,50000.0,Petrol,Individual,Manual,First Owner,,Maruti
Hyundai Verna 1.6 SX,2012.0,600000.0,100000.0,Diesel,Individual,Manual,First Owner,8.0,Hyundai
Datsun RediGO T Option,2017.0,250000.0,46000.0,Petrol,Individual,Manual,First Owner,3.0,Datsun
Honda Amaze VX i-DTEC,2014.0,450000.0,141000.0,Diesel,Individual,Manual,Second Owner,6.0,Honda
Maruti Alto LX BSIII,2007.0,140000.0,,Petrol,Individual,Manual,First Owner,13.0,Maruti
Unknown,2016.0,550000.0,,Petrol,Individual,Manual,First Owner,4.0,Unknown
Tata Indigo Grand Petrol,2014.0,240000.0,60000.0,Petrol,Individual,Manual,Second Owner,6.0,Tata
Hyundai Creta 1.6 VTVT S,2015.0,850000.0,25000.0,Petrol,Individual,Manual,First Owner,5.0,Hyundai
Maruti Celerio Green VXI,2017.0,365000.0,78000.0,CNG,Individual,Manual,First Owner,3.0,Maruti
Unknown,2015.0,260000.0,35000.0,Petrol,Individual,Unknown,First Owner,5.0,Unknown
Tata Indigo Grand Petrol,2014.0,250000.0,100000.0,Petrol,Individual,Manual,First Owner,6.0,Tata
Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000.0,25000.0,Unknown,Dealer,Automatic,First Owner,2.0,Toyota
Maruti Wagon R LXI Minor,2007.0,135000.0,,Petrol,Individual,Manual,First Owner,13.0,Maruti
Maruti Alto LX BSIII,2007.0,140000.0,125000.0,Petrol,Individual,Manual,First Owner,13.0,Maruti
Hyundai Xcent 1.2 Kappa S,2016.0,550000.0,25000.0,Petrol,Individual,Manual,First Owner,4.0,Hyundai
Tata Indigo Grand Petrol,,240000.0,60000.0,Petrol,Individual,Manual,Second Owner,,Tata
